feature,mean_abs_shap,type
MACD_sig,0.6886804,Technical
EMA_12,0.636774,Technical
ATR,0.4492129,Technical
SMA_50,0.40851375,Technical
MACD,0.3305064,Technical
BB_pct,0.21742022,Technical
RSI,0.21415792,Technical
sent_lag1,0.2066333,Sentiment
vader_score,0.19168977,Sentiment
sent_ewma5,0.15816467,Sentiment
sent_lag3,0.15427823,Sentiment
SMA_20,0.13796593,Technical
daily_return,0.12523805,Technical
sent_daily,0.12503031,Sentiment
MACD_hist,0.12218584,Technical
OBV_zscore,0.11212923,Technical
sent_lag2,0.07128439,Sentiment
sent_sma5,0.05497024,Sentiment
sent_volume,0.05443813,Sentiment
sent_sma20,0.03266342,Sentiment
sent_lag5,0.028589578,Sentiment
sent_momentum,0.028369773,Sentiment
sent_zscore,0.022957567,Sentiment
lm_score,0.010936034,Sentiment
sent_divergence,0.004296465,Sentiment
