feature,mean_abs_shap,type
EMA_12,0.5420877,Technical
MACD_hist,0.50596815,Technical
ATR,0.4913794,Technical
SMA_20,0.48795667,Technical
MACD_sig,0.38999125,Technical
OBV_zscore,0.30563524,Technical
daily_return,0.2962145,Technical
SMA_50,0.29327187,Technical
RSI,0.26232976,Technical
sent_zscore,0.25825074,Sentiment
vader_score,0.24838173,Sentiment
MACD,0.2358569,Technical
BB_pct,0.20120688,Technical
sent_ewma5,0.1594829,Sentiment
sent_momentum,0.15052386,Sentiment
lm_score,0.113544814,Sentiment
sent_sma5,0.11267879,Sentiment
sent_lag1,0.06691144,Sentiment
sent_lag5,0.031213338,Sentiment
sent_sma20,0.03111161,Sentiment
sent_lag2,0.020776775,Sentiment
sent_lag3,0.020425567,Sentiment
sent_daily,0.009004939,Sentiment
sent_volume,0.006821281,Sentiment
sent_divergence,0.0,Sentiment
