feature,mean_abs_shap,type
ATR,0.5152231,Technical
BB_pct,0.36369118,Technical
SMA_20,0.3137127,Technical
MACD,0.2786656,Technical
RSI,0.26822498,Technical
EMA_12,0.26616418,Technical
MACD_hist,0.26380268,Technical
SMA_50,0.2561546,Technical
sent_ewma5,0.25460288,Sentiment
OBV_zscore,0.19678296,Technical
MACD_sig,0.19318326,Technical
daily_return,0.17041,Technical
sent_lag1,0.13940044,Sentiment
sent_sma20,0.09267397,Sentiment
sent_zscore,0.0844604,Sentiment
sent_lag2,0.07380368,Sentiment
sent_lag5,0.058743067,Sentiment
sent_divergence,0.04587951,Sentiment
lm_score,0.04544093,Sentiment
sent_lag3,0.044447966,Sentiment
sent_volume,0.035591193,Sentiment
sent_sma5,0.029992675,Sentiment
sent_momentum,0.025615055,Sentiment
vader_score,0.0201063,Sentiment
sent_daily,0.00969318,Sentiment
