date,headline,source,date_day,trading_date
2020-01-01 00:00:00,"2020 Predictions: No Rate Cuts, No Recession, Sell Apple, Buy Energy",massive_raw_partner_headlines,2020-01-01,2020-01-02
2020-01-02 21:58:00,Pacific Biosciences of California shares are trading higher after the company announced a merger with Illumina.,kaggle_massive,2020-01-02,2020-01-02
2020-01-02 21:36:00,Pacific Biosciences Of California Shares Resume Trade,kaggle_massive,2020-01-02,2020-01-02
2020-01-02 21:11:00,Pacific Biosciences of CA Shares To Resume Trade At 4:35 p.m. EDT,kaggle_massive,2020-01-02,2020-01-02
2020-01-02 21:06:00,Illumina and Pacific Biosciences Announce Termination of Merger Agreement; Illumina To Pay Pacific $98M Termination Fee,kaggle_massive,2020-01-02,2020-01-02
2020-01-02 21:02:00,"Pacific Biosciences Of California Shares Halted, News Pending",kaggle_massive,2020-01-02,2020-01-02
2020-01-02 15:20:00,Mid-Morning Market Update: Markets Open Higher; Imagination Technologies Signs New Deal With Apple,kaggle_massive,2020-01-02,2020-01-02
2020-01-02 19:02:00,CNBC's Jim Cramer breaks down the language of Wall Street to help retail investors manage their stock portfolios wisely.,kaggle_financial_news,2020-01-02,2020-01-02
2020-01-02 10:50:00,Taiwan Semiconductor to Start 5nm Chip Production for iPhone in Q2 2020,kaggle_massive,2020-01-02,2020-01-02
2020-01-02 00:00:00,"Dow Jones Futures: 2020 Stock Market Rally Starts Strong, But Watch The Rotation; Apple, AMD, SolarEdge, Tesla Lead; Incyte Dives",massive_raw_partner_headlines,2020-01-02,2020-01-02
2020-01-02 00:00:00,"Dow Jones Scores 150-Point Gain, Led by Boeing, Intel, Apple; Software Stocks Rally Sharply",massive_raw_partner_headlines,2020-01-02,2020-01-02
2020-01-02 00:00:00,"Stock Market Kicks Off 2020 With Solid Gains; Amazon, AMD, Apple And Tesla Are Key Leaders",massive_raw_partner_headlines,2020-01-02,2020-01-02
2020-01-02 00:00:00,"Dow Jones Rushes 230 Points To Record High Thanks To Disney, Apple",massive_raw_partner_headlines,2020-01-02,2020-01-02
2020-01-02 14:22:00,Taiwan Semiconductor Manufacturing Co shares are trading higher after the company announced it will start 5nm chip productions for iPhones in Q2 2020.,kaggle_massive,2020-01-02,2020-01-02
2020-01-03 00:00:00,"Apple Leads Dividend Stock Play That Aims For Growing Profit, Yields",massive_raw_partner_headlines,2020-01-03,2020-01-03
2020-01-03 05:49:00,Former HBO Chief Executive Strikes A Deal With Apple TV+ For Content Production,kaggle_massive,2020-01-03,2020-01-03
2020-01-03 00:00:00,"Stock Market Trims Losses After U.S. Airstrike Sends Stocks Tumbling; Apple, Incyte, Tesla Key Movers",massive_raw_partner_headlines,2020-01-03,2020-01-03
