date,headline,source,date_day,trading_date
2020-01-01 00:00:00,"Dow Jones Futures Signal Stock Market Gains To Start 2020: Tesla Deliveries Loom; Google, Disney Test Key Support",massive_raw_partner_headlines,2020-01-01,2020-01-02
2020-01-02 22:42:00,Ryder Partners To Build Up Electric Vehicle Infrastructure,kaggle_analyst_analyst_ratings_processed.csv,2020-01-02,2020-01-02
2020-01-02 18:41:00,Tesla shares are trading higher after the company said it would deliver a second batch of China-made Model 3S on January 7th.,kaggle_analyst_analyst_ratings_processed.csv,2020-01-02,2020-01-02
2020-01-02 15:59:00,"Wedbush Says Tesla Poised For Q4 Delivery Upside On Model 3 Demand, European Strength",kaggle_analyst_analyst_ratings_processed.csv,2020-01-02,2020-01-02
2020-01-02 15:28:00,"UPDATE: Canaccord Genuity Maintains Buy On Tesla, Raises Target To $515 As Firm Believes 'the trend towards electrification will only accelerate in 2020'; Anticipates Co's Q4 Delivery Numbers Will Be Above Co's 360,000 Unit Guidance For 2019",kaggle_analyst_analyst_ratings_processed.csv,2020-01-02,2020-01-02
2020-01-02 12:48:00,Tesla To Begin Delivering China-Made Model 3 To Public On Jan. 7,kaggle_analyst_analyst_ratings_processed.csv,2020-01-02,2020-01-02
2020-01-02 17:50:00,Canaccord Lifts Tesla Price Target Above $500 Amid International Opportunity,kaggle_analyst_analyst_ratings_processed.csv,2020-01-02,2020-01-02
2020-01-02 12:22:00,Hearing Canaccord Genuity Raised Tesla Price Target From $375 To $515; Unconfirmed,kaggle_analyst_analyst_ratings_processed.csv,2020-01-02,2020-01-02
2020-01-02 10:40:00,Tesla Says will Deliver Second Batch of China-made Model 3s on January 7,kaggle_analyst_analyst_ratings_processed.csv,2020-01-02,2020-01-02
2020-01-02 00:00:00,"Stock Market Kicks Off 2020 With Solid Gains; Amazon, AMD, Apple And Tesla Are Key Leaders",massive_raw_partner_headlines,2020-01-02,2020-01-02
2020-01-02 00:00:00,"Dow Jones Futures: 2020 Stock Market Rally Starts Strong, But Watch The Rotation; Apple, AMD, SolarEdge, Tesla Lead; Incyte Dives",massive_raw_partner_headlines,2020-01-02,2020-01-02
2020-01-02 12:41:00,"Canaccord Genuity Maintains Buy on Tesla, Raises Price Target to $515",kaggle_analyst_analyst_ratings_processed.csv,2020-01-02,2020-01-02
2020-01-03 13:18:00,"Tesla Reports Q4 Model S/X Production ~17.9K Vehicles, Model 3 Production ~86.96K Vehicles",kaggle_analyst_analyst_ratings_processed.csv,2020-01-03,2020-01-03
2020-01-03 18:17:00,Tesla Shorts Are Still Holding On (For Now),kaggle_analyst_analyst_ratings_processed.csv,2020-01-03,2020-01-03
2020-01-03 17:05:00,"Canaccord Maintains Buy, $515 Target On Tesla As Firm Notes 'we view these results as a clear indication that EV demand remains strong for Tesla and that the company is well positioned for 2020 with continued positive momentum in all business areas'",kaggle_analyst_analyst_ratings_processed.csv,2020-01-03,2020-01-03
2020-01-03 14:39:00,"Tesla shares are trading higher after the company reported record deliveries of roughly 367,600 in FY19, which is a 50% year-over-year increase.",kaggle_analyst_analyst_ratings_processed.csv,2020-01-03,2020-01-03
2020-01-03 13:54:00,Tesla Reports Record Q4 Deliveries,kaggle_analyst_analyst_ratings_processed.csv,2020-01-03,2020-01-03
