date,headline,source
2007-01-24 00:00:00,General Dynamics Profit Edges Up; Shares Drop,hf_sp500
2007-07-25 00:00:00,"General Dynamics Profit Falls, but Beats Wall Street Forecasts",hf_sp500
2007-10-24 00:00:00,General Dynamics and Northrop Grumman Profits Rise,hf_sp500
2008-07-23 00:00:00,"Lightning Round: FuelCell, Microsoft, eBay and More",hf_sp500
2008-09-15 00:00:00,"Lightning Round: Visa, Google, General Dynamics and More",hf_sp500
2009-04-24 00:00:00,"Lightning Round: Exxon, Office Depot, General Dynamics and More",hf_sp500
2009-06-05 00:00:00,"Searching For Bing? It’ll Be Baked Into TV, Online Fare",hf_sp500
2009-08-07 12:00:00,Dave Sawyer From Microsoft and Bob Nolan From Raxco Software to Be Featured on Let's Talk Computers (R),kaggle_massive
2009-08-07 13:00:00,Study: Enterprises Can Slash 88 Percent Off Application Preparation Time for Microsoft App-V Deployments,kaggle_massive
2009-08-10 10:30:00,RPT Teams Up With Kennecott to Explore Its Dorion Block,kaggle_massive
2009-08-10 13:00:00,InfoPrint Teams With Sinclair Oil to Deploy TransPromo in a Business-to-Business Environment,kaggle_massive
2009-08-10 13:18:00,CustomerCentric Selling(R) Helps Decision Dynamics Technology Produce Record Revenue Through Facilitating Greater Value for Customers,kaggle_massive
2009-08-10 17:00:00,AppAssure Software Unveils FREE MailRetriever Lite Message Recovery Tool for Microsoft Exchange Admins,kaggle_massive
2009-08-10 20:00:00,"Atlantic Wind & Solar Inc. Signs Landmark MOU With Centripetal Dynamics, Inc. to Advance Wind Power Business Partnership",kaggle_massive
2009-08-13 12:00:00,"Pagemasters, the world leader in the editorial production of fully designed, ready-to-print news pages, teams up with The Canadian Press to serve North American newspapers",kaggle_massive
2009-08-13 12:03:00,EducationDynamics Announces Appointment of Douglas B. Smith to Chief Financial Officer,kaggle_massive
2009-08-14 15:58:00,Farmers Telephone Cooperative Selects ETI's Triad to Integrate Microsoft Mediaroom,kaggle_massive
2009-08-14 17:34:00,Remote Dynamics Reports Q2 2009 Financial Results,kaggle_massive
2009-08-16 15:16:00,Nokia / Microsoft Threat to RIM Is 'Limited' - UBS,kaggle_massive
2009-08-17 11:07:00,Microsoft's First Big Newspaper Partnership,kaggle_massive
2009-08-17 12:00:00,"Balanced Insight Consensus Drives the Collaborative Delivery of Business Objects, Cognos and Microsoft BI Throughout the Enterprise",kaggle_massive
2009-08-18 07:49:00,Cryptzone announces encryption tool for Microsoft SharePoint(R),kaggle_massive
2009-08-18 12:00:00,Idera Supports PowerShell for Microsoft Active Directory Management,kaggle_massive
2009-08-18 13:00:00,"PhoneFusion Continues to Improve Visual Voicemail Technology; Adds New Features to Popular Fusion Voicemail Plus App for Android, Blackberry and Windows Mobile Devices",kaggle_massive
2009-08-18 18:31:00,Update: Idera Supports PowerShell for Microsoft Active Directory Management,kaggle_massive
2009-08-18 19:30:00,"York Telecom Teams With DSCI to Win U.S. Army Technical, Engineering Support Services (TESS) Contract",kaggle_massive
2009-08-25 12:11:00,Dynamics Research (DRCO) awarded $3.4M contract from U.S. Air Force,kaggle_massive
2009-08-25 13:08:00,General Dynamics (GD) selects Tellabs (TLAB) to support Army base modernization,kaggle_massive
2009-08-31 13:19:00,$14.3 M Air Force Work Award for Dynamics Research Corporation (DRCO),kaggle_massive
2009-09-08 11:21:00,Broadcom's (BRCM) Announces Microsoft-Mediaroom Integration of Set-Top Box Solution,kaggle_massive
2009-09-10 09:37:00,Microsoft (MSFT) to Reveal New Partner Solutions Built on Microsoft Technology for the Media and Entertainment Industry,kaggle_massive
2009-09-14 14:28:00,Hyperdynamics (HDY) signs MOU with Guinea Government,kaggle_massive
2009-09-15 12:28:00,Microsoft (MSFT) introduces Zune Media Player Software,kaggle_massive
2009-09-24 11:40:00,Microsoft Corporation (MSFT) Has No Plans To Acquire Electronic Arts Inc. (ERTS),kaggle_massive
2009-10-01 14:46:00,"Neil Hennessy Sees Recent Rally As Beginning Of 10 Year Bull Market (WMT, HD, JNJ, MSFT)",kaggle_massive
2009-10-18 12:56:00,Will Microsoft (MSFT) Windows 7 be A ‘Chip off the Old Block’ or Runaway Child for Chip Stock,kaggle_massive
