Ticker,Method,AUC,F1,Accuracy
AAPL,Baseline (TA only),0.504,0.637,0.566
AAPL,VADER,0.501,0.599,0.54
AAPL,LM,0.506,0.6,0.529
AAPL,FinBERT,0.539,0.63,0.561
AAPL,SBERT,0.513,0.632,0.561
AAPL,K-VADER,0.502,0.652,0.577
TSLA,Baseline (TA only),0.468,0.468,0.46
TSLA,VADER,0.469,0.485,0.481
TSLA,LM,0.462,0.493,0.476
TSLA,FinBERT,0.443,0.489,0.476
TSLA,SBERT,0.455,0.487,0.471
TSLA,K-VADER,0.472,0.531,0.487
MSFT,Baseline (TA only),0.555,0.517,0.455
MSFT,VADER,0.483,0.494,0.434
MSFT,LM,0.55,0.493,0.45
MSFT,FinBERT,0.524,0.474,0.423
MSFT,SBERT,0.512,0.46,0.418
MSFT,K-VADER,0.479,0.463,0.418
